"#","Date Time, GMT-07:00","Abs Pres, psi (LGR S/N: 22072298, SEN S/N: 22072298, LBL: Frogspot_Pressure)","Temp, °F (LGR S/N: 22072298, SEN S/N: 22072298, LBL: Frogspot_Temp)","Sensor Depth, meters (LGR S/N: )"
1,09/10/24 05:40:00 PM,14.7553,83.579,0.214
2,09/10/24 05:45:00 PM,14.7740,83.757,0.228
3,09/10/24 05:50:00 PM,14.7624,83.757,0.217
4,09/10/24 05:55:00 PM,14.7586,83.579,0.219
5,09/10/24 06:00:00 PM,14.7619,83.579,0.220
6,09/10/24 06:05:00 PM,14.7487,83.579,0.208
7,09/10/24 06:10:00 PM,14.7635,83.579,0.220
8,09/10/24 06:15:00 PM,14.7615,83.399,0.218
9,09/10/24 06:20:00 PM,14.7598,83.399,0.217
10,09/10/24 06:25:00 PM,14.7582,83.399,0.217
11,09/10/24 06:30:00 PM,14.7548,83.399,0.213
12,09/10/24 06:35:00 PM,14.7461,83.221,0.208
13,09/10/24 06:40:00 PM,14.7428,83.221,0.208
14,09/10/24 06:45:00 PM,14.7477,83.221,0.210
15,09/10/24 06:50:00 PM,14.7505,83.043,0.212
16,09/10/24 06:55:00 PM,14.7473,83.043,0.208
17,09/10/24 07:00:00 PM,14.7339,83.043,0.201
18,09/10/24 07:05:00 PM,14.7418,82.864,0.207
19,09/10/24 07:10:00 PM,14.7351,82.864,0.201
20,09/10/24 07:15:00 PM,14.7347,82.686,0.202
21,09/10/24 07:20:00 PM,14.7347,82.686,0.203
22,09/10/24 07:25:00 PM,14.7309,82.508,0.201
23,09/10/24 07:30:00 PM,14.7242,82.508,0.197
24,09/10/24 07:35:00 PM,14.7238,82.330,0.194
25,09/10/24 07:40:00 PM,14.7271,82.330,0.197
26,09/10/24 07:45:00 PM,14.7155,82.330,0.188
27,09/10/24 07:50:00 PM,14.7149,82.152,0.188
28,09/10/24 07:55:00 PM,14.7116,82.152,0.185
29,09/10/24 08:00:00 PM,14.7112,81.975,0.185
30,09/10/24 08:05:00 PM,14.7129,81.975,0.186
31,09/10/24 08:10:00 PM,14.7041,81.797,0.178
32,09/10/24 08:15:00 PM,14.7074,81.797,0.181
33,09/10/24 08:20:00 PM,14.7057,81.797,0.178
34,09/10/24 08:25:00 PM,14.7070,81.621,0.178
35,09/10/24 08:30:00 PM,14.7036,81.621,0.175
36,09/10/24 08:35:00 PM,14.7064,81.442,0.178
37,09/10/24 08:40:00 PM,14.7081,81.442,0.179
38,09/10/24 08:45:00 PM,14.7093,81.266,0.178
39,09/10/24 08:50:00 PM,14.7026,81.266,0.175
40,09/10/24 08:55:00 PM,14.7154,81.090,0.183
41,09/10/24 09:00:00 PM,14.7154,81.090,0.182
42,09/10/24 09:05:00 PM,14.7170,81.090,0.184
43,09/10/24 09:10:00 PM,14.7266,80.911,0.189
44,09/10/24 09:15:00 PM,14.7215,80.911,0.187
45,09/10/24 09:20:00 PM,14.7210,80.735,0.187
46,09/10/24 09:25:00 PM,14.7161,80.735,0.182
47,09/10/24 09:30:00 PM,14.7226,80.735,0.187
48,09/10/24 09:35:00 PM,14.7238,80.559,0.189
49,09/10/24 09:40:00 PM,14.7238,80.559,0.192
50,09/10/24 09:45:00 PM,14.7102,80.382,0.179
51,09/10/24 09:50:00 PM,14.7251,80.382,0.188
52,09/10/24 09:55:00 PM,14.7196,80.206,0.184
53,09/10/24 10:00:00 PM,14.7163,80.206,0.183
54,09/10/24 10:05:00 PM,14.7306,80.029,0.193
55,09/10/24 10:10:00 PM,14.7208,80.029,0.184
56,09/10/24 10:15:00 PM,14.7152,79.853,0.181
57,09/10/24 10:20:00 PM,14.7103,79.853,0.178
58,09/10/24 10:25:00 PM,14.7036,79.853,0.174
59,09/10/24 10:30:00 PM,14.7164,79.678,0.183
60,09/10/24 10:35:00 PM,14.7148,79.678,0.181
61,09/10/24 10:40:00 PM,14.7093,79.502,0.177
62,09/10/24 10:45:00 PM,14.7010,79.502,0.172
