"Date Time, GMT-07:00"	"Abs Pres, psi (LGR S/N: 22072298_duplicate, SEN S/N: 22072298, LBL: Frogspot_Pressure)"	"Temp, °F (LGR S/N: 22072298_duplicate, SEN S/N: 22072298, LBL: Frogspot_Temp)"	"Sensor Depth, meters (LGR S/N: null)"
09/10/24 17:40:00.0	14.7553	83.579	0.214
09/10/24 17:45:00.0	14.7740	83.757	0.228
09/10/24 17:50:00.0	14.7624	83.757	0.217
09/10/24 17:55:00.0	14.7586	83.579	0.219
09/10/24 18:00:00.0	14.7619	83.579	0.220
09/10/24 18:05:00.0	14.7487	83.579	0.208
09/10/24 18:10:00.0	14.7635	83.579	0.220
09/10/24 18:15:00.0	14.7615	83.399	0.218
09/10/24 18:20:00.0	14.7598	83.399	0.217
09/10/24 18:25:00.0	14.7582	83.399	0.217
09/10/24 18:30:00.0	14.7548	83.399	0.213
09/10/24 18:35:00.0	14.7461	83.221	0.208
09/10/24 18:40:00.0	14.7428	83.221	0.208
09/10/24 18:45:00.0	14.7477	83.221	0.210
09/10/24 18:50:00.0	14.7505	83.043	0.212
09/10/24 18:55:00.0	14.7473	83.043	0.208
09/10/24 19:00:00.0	14.7339	83.043	0.201
09/10/24 19:05:00.0	14.7418	82.864	0.207
09/10/24 19:10:00.0	14.7351	82.864	0.201
09/10/24 19:15:00.0	14.7347	82.686	0.202
09/10/24 19:20:00.0	14.7347	82.686	0.203
09/10/24 19:25:00.0	14.7309	82.508	0.201
09/10/24 19:30:00.0	14.7242	82.508	0.197
09/10/24 19:35:00.0	14.7238	82.330	0.194
09/10/24 19:40:00.0	14.7271	82.330	0.197
09/10/24 19:45:00.0	14.7155	82.330	0.188
09/10/24 19:50:00.0	14.7149	82.152	0.188
09/10/24 19:55:00.0	14.7116	82.152	0.185
09/10/24 20:00:00.0	14.7112	81.975	0.185
09/10/24 20:05:00.0	14.7129	81.975	0.186
09/10/24 20:10:00.0	14.7041	81.797	0.178
09/10/24 20:15:00.0	14.7074	81.797	0.181
09/10/24 20:20:00.0	14.7057	81.797	0.178
09/10/24 20:25:00.0	14.7070	81.621	0.178
09/10/24 20:30:00.0	14.7036	81.621	0.175
09/10/24 20:35:00.0	14.7064	81.442	0.178
09/10/24 20:40:00.0	14.7081	81.442	0.179
09/10/24 20:45:00.0	14.7093	81.266	0.178
09/10/24 20:50:00.0	14.7026	81.266	0.175
09/10/24 20:55:00.0	14.7154	81.090	0.183
09/10/24 21:00:00.0	14.7154	81.090	0.182
09/10/24 21:05:00.0	14.7170	81.090	0.184
09/10/24 21:10:00.0	14.7266	80.911	0.189
09/10/24 21:15:00.0	14.7215	80.911	0.187
09/10/24 21:20:00.0	14.7210	80.735	0.187
09/10/24 21:25:00.0	14.7161	80.735	0.182
09/10/24 21:30:00.0	14.7226	80.735	0.187
09/10/24 21:35:00.0	14.7238	80.559	0.189
09/10/24 21:40:00.0	14.7238	80.559	0.192
09/10/24 21:45:00.0	14.7102	80.382	0.179
09/10/24 21:50:00.0	14.7251	80.382	0.188
09/10/24 21:55:00.0	14.7196	80.206	0.184
09/10/24 22:00:00.0	14.7163	80.206	0.183
09/10/24 22:05:00.0	14.7306	80.029	0.193
09/10/24 22:10:00.0	14.7208	80.029	0.184
09/10/24 22:15:00.0	14.7152	79.853	0.181
09/10/24 22:20:00.0	14.7103	79.853	0.178
09/10/24 22:25:00.0	14.7036	79.853	0.174
09/10/24 22:30:00.0	14.7164	79.678	0.183
09/10/24 22:35:00.0	14.7148	79.678	0.181
09/10/24 22:40:00.0	14.7093	79.502	0.177
09/10/24 22:45:00.0	14.7010	79.502	0.172
09/10/24 22:50:00.0	14.7039	79.326	0.174
09/10/24 22:55:00.0	14.7055	79.326	0.173
09/10/24 23:00:00.0	14.6951	79.151	0.169
09/10/24 23:05:00.0	14.7018	79.151	0.173
09/10/24 23:10:00.0	14.6930	78.975	0.167
09/10/24 23:15:00.0	14.6830	78.975	0.161
09/10/24 23:20:00.0	14.6925	78.800	0.166
09/10/24 23:25:00.0	14.6891	78.800	0.165
09/10/24 23:30:00.0	14.6871	78.624	0.163
09/10/24 23:35:00.0	14.6771	78.624	0.157
09/10/24 23:40:00.0	14.6816	78.449	0.161
09/10/24 23:45:00.0	14.6733	78.449	0.155
09/10/24 23:50:00.0	14.6745	78.274	0.155
09/10/24 23:55:00.0	14.6723	78.098	0.155
09/11/24 00:00:00.0	14.6707	78.098	0.152
09/11/24 00:05:00.0	14.6701	77.923	0.154
09/11/24 00:10:00.0	14.6701	77.923	0.153
09/11/24 00:15:00.0	14.6614	77.749	0.147
09/11/24 00:20:00.0	14.6597	77.749	0.145
09/11/24 00:25:00.0	14.6577	77.574	0.146
09/11/24 00:30:00.0	14.6494	77.574	0.137
09/11/24 00:35:00.0	14.6521	77.400	0.142
09/11/24 00:40:00.0	14.6439	77.400	0.136
09/11/24 00:45:00.0	14.6417	77.225	0.134
09/11/24 00:50:00.0	14.6500	77.225	0.141
