"Plot Title:  GLA_Downstream_22072297"
"#","Date Time, GMT-07:00","Abs Pres, psi (LGR S/N: 22072297, SEN S/N: 22072297)","Temp, °F (LGR S/N: 22072297, SEN S/N: 22072297)","Sensor Depth, meters (LGR S/N: )"
1,09/23/24 07:00:00 PM,14.7161,82.152,0.197
2,09/23/24 07:05:00 PM,14.7155,81.797,0.195
3,09/23/24 07:10:00 PM,14.7167,81.621,0.195
4,09/23/24 07:15:00 PM,14.7178,81.442,0.197
5,09/23/24 07:20:00 PM,14.7206,81.266,0.199
6,09/23/24 07:25:00 PM,14.7203,81.090,0.200
7,09/23/24 07:30:00 PM,14.7231,80.911,0.201
8,09/23/24 07:35:00 PM,14.7212,80.735,0.202
9,09/23/24 07:40:00 PM,14.7286,80.559,0.206
10,09/23/24 07:45:00 PM,14.7392,80.382,0.214
11,09/23/24 07:50:00 PM,14.7499,80.382,0.222
12,09/23/24 07:55:00 PM,14.7550,80.559,0.225
13,09/23/24 08:00:00 PM,14.7611,80.559,0.228
14,09/23/24 08:05:00 PM,14.7643,80.559,0.228
15,09/23/24 08:10:00 PM,14.7673,80.559,0.230
16,09/23/24 08:15:00 PM,14.7717,80.382,0.232
17,09/23/24 08:20:00 PM,14.7685,80.382,0.231
18,09/23/24 08:25:00 PM,14.7666,80.206,0.228
19,09/23/24 08:30:00 PM,14.7647,80.029,0.225
20,09/23/24 08:35:00 PM,14.7679,80.029,0.226
21,09/23/24 08:40:00 PM,14.7690,79.853,0.225
22,09/23/24 08:45:00 PM,14.7660,79.853,0.222
23,09/23/24 08:50:00 PM,14.7672,79.678,0.223
24,09/23/24 08:55:00 PM,14.7699,79.502,0.226
25,09/23/24 09:00:00 PM,14.7637,79.502,0.219
26,09/23/24 09:05:00 PM,14.7557,79.326,0.213
27,09/23/24 09:10:00 PM,14.7485,78.800,0.208
28,09/23/24 09:15:00 PM,14.7474,78.274,0.209
29,09/23/24 09:20:00 PM,14.7418,77.749,0.201
30,09/23/24 09:25:00 PM,14.7354,77.574,0.196
31,09/23/24 09:30:00 PM,14.7235,77.050,0.188
32,09/23/24 09:35:00 PM,14.7138,76.006,0.182
33,09/23/24 09:40:00 PM,14.7109,75.312,0.179
34,09/23/24 09:45:00 PM,14.7080,74.619,0.175
35,09/23/24 09:50:00 PM,14.7073,74.271,0.176
36,09/23/24 09:55:00 PM,14.7081,73.926,0.175
37,09/23/24 10:00:00 PM,14.7090,73.580,0.176
38,09/23/24 10:05:00 PM,14.7102,73.407,0.176
39,09/23/24 10:10:00 PM,14.7125,73.062,0.179
40,09/23/24 10:15:00 PM,14.7168,72.891,0.180
41,09/23/24 10:20:00 PM,14.7165,72.718,0.178
42,09/23/24 10:25:00 PM,14.7212,72.718,0.181
43,09/23/24 10:30:00 PM,14.7223,72.545,0.184
44,09/23/24 10:35:00 PM,14.7219,72.372,0.181
45,09/23/24 10:40:00 PM,14.7186,72.199,0.180
46,09/23/24 10:45:00 PM,14.7213,72.028,0.182
47,09/23/24 10:50:00 PM,14.7209,71.856,0.181
48,09/23/24 10:55:00 PM,14.7237,71.683,0.181
49,09/23/24 11:00:00 PM,14.7248,71.512,0.183
50,09/23/24 11:05:00 PM,14.7260,71.339,0.184
51,09/23/24 11:10:00 PM,14.7306,71.339,0.186
52,09/23/24 11:15:00 PM,14.7366,71.168,0.190
53,09/23/24 11:20:00 PM,14.7396,71.168,0.193
54,09/23/24 11:25:00 PM,14.7424,70.995,0.195
55,09/23/24 11:30:00 PM,14.7454,70.995,0.196
56,09/23/24 11:35:00 PM,14.7466,70.824,0.198
57,09/23/24 11:40:00 PM,14.7477,70.651,0.199
58,09/23/24 11:45:00 PM,14.7509,70.651,0.202
59,09/23/24 11:50:00 PM,14.7444,70.480,0.198
60,09/23/24 11:55:00 PM,14.7456,70.308,0.199
61,09/24/24 12:00:00 AM,14.7437,70.137,0.196
62,09/24/24 12:05:00 AM,14.7402,69.964,0.194
63,09/24/24 12:10:00 AM,14.7371,69.964,0.190
64,09/24/24 12:15:00 AM,14.7353,69.793,0.188
65,09/24/24 12:20:00 AM,14.7321,69.793,0.187
66,09/24/24 12:25:00 AM,14.7274,69.793,0.184
67,09/24/24 12:30:00 AM,14.7241,69.622,0.183
68,09/24/24 12:35:00 AM,14.7194,69.622,0.179
69,09/24/24 12:40:00 AM,14.7144,69.449,0.175
70,09/24/24 12:45:00 AM,14.7129,69.449,0.173
71,09/24/24 12:50:00 AM,14.7141,69.278,0.176
72,09/24/24 12:55:00 AM,14.7199,69.107,0.179
73,09/24/24 01:00:00 AM,14.7357,69.278,0.189
74,09/24/24 01:05:00 AM,14.7386,69.964,0.191
75,09/24/24 01:10:00 AM,14.7454,70.995,0.199
76,09/24/24 01:15:00 AM,14.7469,71.683,0.197
77,09/24/24 01:20:00 AM,14.7514,72.372,0.201
78,09/24/24 01:25:00 AM,14.7505,72.718,0.199
79,09/24/24 01:30:00 AM,14.7477,72.891,0.199
80,09/24/24 01:35:00 AM,14.7512,73.062,0.199
81,09/24/24 01:40:00 AM,14.7527,73.062,0.202
82,09/24/24 01:45:00 AM,14.7512,73.062,0.202
83,09/24/24 01:50:00 AM,14.7508,72.891,0.201
