"Date Time, GMT-07:00"	"Abs Pres, psi (LGR S/N: 22072297_duplicate, SEN S/N: 22072297)"	"Temp, °F (LGR S/N: 22072297_duplicate, SEN S/N: 22072297)"	"Sensor Depth, meters (LGR S/N: null)"
09/23/24 19:00:00.0	14.7161	82.152	0.197
09/23/24 19:05:00.0	14.7155	81.797	0.195
09/23/24 19:10:00.0	14.7167	81.621	0.195
09/23/24 19:15:00.0	14.7178	81.442	0.197
09/23/24 19:20:00.0	14.7206	81.266	0.199
09/23/24 19:25:00.0	14.7203	81.090	0.200
09/23/24 19:30:00.0	14.7231	80.911	0.201
09/23/24 19:35:00.0	14.7212	80.735	0.202
09/23/24 19:40:00.0	14.7286	80.559	0.206
09/23/24 19:45:00.0	14.7392	80.382	0.214
09/23/24 19:50:00.0	14.7499	80.382	0.222
09/23/24 19:55:00.0	14.7550	80.559	0.225
09/23/24 20:00:00.0	14.7611	80.559	0.228
09/23/24 20:05:00.0	14.7643	80.559	0.228
09/23/24 20:10:00.0	14.7673	80.559	0.230
09/23/24 20:15:00.0	14.7717	80.382	0.232
09/23/24 20:20:00.0	14.7685	80.382	0.231
09/23/24 20:25:00.0	14.7666	80.206	0.228
09/23/24 20:30:00.0	14.7647	80.029	0.225
09/23/24 20:35:00.0	14.7679	80.029	0.226
09/23/24 20:40:00.0	14.7690	79.853	0.225
09/23/24 20:45:00.0	14.7660	79.853	0.222
09/23/24 20:50:00.0	14.7672	79.678	0.223
09/23/24 20:55:00.0	14.7699	79.502	0.226
09/23/24 21:00:00.0	14.7637	79.502	0.219
09/23/24 21:05:00.0	14.7557	79.326	0.213
09/23/24 21:10:00.0	14.7485	78.800	0.208
09/23/24 21:15:00.0	14.7474	78.274	0.209
09/23/24 21:20:00.0	14.7418	77.749	0.201
09/23/24 21:25:00.0	14.7354	77.574	0.196
09/23/24 21:30:00.0	14.7235	77.050	0.188
09/23/24 21:35:00.0	14.7138	76.006	0.182
09/23/24 21:40:00.0	14.7109	75.312	0.179
09/23/24 21:45:00.0	14.7080	74.619	0.175
09/23/24 21:50:00.0	14.7073	74.271	0.176
09/23/24 21:55:00.0	14.7081	73.926	0.175
09/23/24 22:00:00.0	14.7090	73.580	0.176
09/23/24 22:05:00.0	14.7102	73.407	0.176
09/23/24 22:10:00.0	14.7125	73.062	0.179
09/23/24 22:15:00.0	14.7168	72.891	0.180
09/23/24 22:20:00.0	14.7165	72.718	0.178
09/23/24 22:25:00.0	14.7212	72.718	0.181
09/23/24 22:30:00.0	14.7223	72.545	0.184
09/23/24 22:35:00.0	14.7219	72.372	0.181
09/23/24 22:40:00.0	14.7186	72.199	0.180
09/23/24 22:45:00.0	14.7213	72.028	0.182
09/23/24 22:50:00.0	14.7209	71.856	0.181
09/23/24 22:55:00.0	14.7237	71.683	0.181
09/23/24 23:00:00.0	14.7248	71.512	0.183
09/23/24 23:05:00.0	14.7260	71.339	0.184
09/23/24 23:10:00.0	14.7306	71.339	0.186
09/23/24 23:15:00.0	14.7366	71.168	0.190
09/23/24 23:20:00.0	14.7396	71.168	0.193
09/23/24 23:25:00.0	14.7424	70.995	0.195
09/23/24 23:30:00.0	14.7454	70.995	0.196
09/23/24 23:35:00.0	14.7466	70.824	0.198
09/23/24 23:40:00.0	14.7477	70.651	0.199
09/23/24 23:45:00.0	14.7509	70.651	0.202
09/23/24 23:50:00.0	14.7444	70.480	0.198
09/23/24 23:55:00.0	14.7456	70.308	0.199
09/24/24 00:00:00.0	14.7437	70.137	0.196
09/24/24 00:05:00.0	14.7402	69.964	0.194
09/24/24 00:10:00.0	14.7371	69.964	0.190
09/24/24 00:15:00.0	14.7353	69.793	0.188
09/24/24 00:20:00.0	14.7321	69.793	0.187
09/24/24 00:25:00.0	14.7274	69.793	0.184
09/24/24 00:30:00.0	14.7241	69.622	0.183
09/24/24 00:35:00.0	14.7194	69.622	0.179
09/24/24 00:40:00.0	14.7144	69.449	0.175
09/24/24 00:45:00.0	14.7129	69.449	0.173
09/24/24 00:50:00.0	14.7141	69.278	0.176
09/24/24 00:55:00.0	14.7199	69.107	0.179
09/24/24 01:00:00.0	14.7357	69.278	0.189
09/24/24 01:05:00.0	14.7386	69.964	0.191
09/24/24 01:10:00.0	14.7454	70.995	0.199
09/24/24 01:15:00.0	14.7469	71.683	0.197
09/24/24 01:20:00.0	14.7514	72.372	0.201
09/24/24 01:25:00.0	14.7505	72.718	0.199
09/24/24 01:30:00.0	14.7477	72.891	0.199
09/24/24 01:35:00.0	14.7512	73.062	0.199
09/24/24 01:40:00.0	14.7527	73.062	0.202
09/24/24 01:45:00.0	14.7512	73.062	0.202
09/24/24 01:50:00.0	14.7508	72.891	0.201
09/24/24 01:55:00.0	14.7524	72.891	0.202
09/24/24 02:00:00.0	14.7508	72.891	0.203
09/24/24 02:05:00.0	14.7474	72.718	0.199
09/24/24 02:10:00.0	14.7421	72.372	0.196
09/24/24 02:15:00.0	14.7413	72.028	0.195
09/24/24 02:20:00.0	14.7434	71.512	0.195
09/24/24 02:25:00.0	14.7445	71.339	0.197
09/24/24 02:30:00.0	14.7431	71.339	0.195
09/24/24 02:35:00.0	14.7403	71.512	0.192
09/24/24 02:40:00.0	14.7384	71.339	0.192
09/24/24 02:45:00.0	14.7405	70.824	0.192
09/24/24 02:50:00.0	14.7416	70.651	0.194
09/24/24 02:55:00.0	14.7351	70.480	0.188
09/24/24 03:00:00.0	14.7258	70.480	0.183
09/24/24 03:05:00.0	14.7194	69.622	0.177
09/24/24 03:10:00.0	14.7161	68.763	0.177
09/24/24 03:15:00.0	14.7163	68.077	0.176
09/24/24 03:20:00.0	14.7186	67.735	0.177
09/24/24 03:25:00.0	14.7197	67.564	0.180
09/24/24 03:30:00.0	14.7116	67.392	0.176
09/24/24 03:35:00.0	14.7132	67.392	0.175
09/24/24 03:40:00.0	14.7102	67.392	0.174
09/24/24 03:45:00.0	14.7081	67.221	0.171
09/24/24 03:50:00.0	14.7051	67.221	0.171
09/24/24 03:55:00.0	14.7039	67.392	0.169
09/24/24 04:00:00.0	14.6993	67.392	0.165
09/24/24 04:05:00.0	14.6962	67.392	0.163
09/24/24 04:10:00.0	14.6932	67.392	0.162
09/24/24 04:15:00.0	14.6900	67.392	0.159
09/24/24 04:20:00.0	14.6900	67.392	0.159
09/24/24 04:25:00.0	14.6854	67.392	0.157
09/24/24 04:30:00.0	14.6854	67.392	0.158
09/24/24 04:35:00.0	14.6828	67.564	0.155
09/24/24 04:40:00.0	14.6812	67.564	0.154
09/24/24 04:45:00.0	14.6781	67.564	0.152
09/24/24 04:50:00.0	14.6781	67.564	0.153
09/24/24 04:55:00.0	14.6765	67.564	0.151
09/24/24 05:00:00.0	14.6749	67.564	0.153
09/24/24 05:05:00.0	14.6735	67.564	0.151
09/24/24 05:10:00.0	14.6704	67.564	0.149
09/24/24 05:15:00.0	14.6688	67.564	0.148
09/24/24 05:20:00.0	14.6704	67.564	0.148
09/24/24 05:25:00.0	14.6719	67.564	0.149
09/24/24 05:30:00.0	14.6749	67.564	0.151
