"Plot Title:  GLA_Upstream_22072299"
"#","Date Time, GMT-07:00","Abs Pres, psi (LGR S/N: 22072299, SEN S/N: 22072299)","Temp, °F (LGR S/N: 22072299, SEN S/N: 22072299)","Sensor Depth, meters (LGR S/N: )"
1,09/23/24 07:00:00 PM,14.6453,80.029,0.147
2,09/23/24 07:05:00 PM,14.6468,80.559,0.147
3,09/23/24 07:10:00 PM,14.6516,80.559,0.149
4,09/23/24 07:15:00 PM,14.6511,80.382,0.150
5,09/23/24 07:20:00 PM,14.6519,80.029,0.150
6,09/23/24 07:25:00 PM,14.6546,79.853,0.154
7,09/23/24 07:30:00 PM,14.6520,79.502,0.151
8,09/23/24 07:35:00 PM,14.6559,79.151,0.156
9,09/23/24 07:40:00 PM,14.6668,78.975,0.163
10,09/23/24 07:45:00 PM,14.6772,78.624,0.171
11,09/23/24 07:50:00 PM,14.6843,78.274,0.175
12,09/23/24 07:55:00 PM,14.6855,78.098,0.175
13,09/23/24 08:00:00 PM,14.6877,77.749,0.176
14,09/23/24 08:05:00 PM,14.6884,77.400,0.174
15,09/23/24 08:10:00 PM,14.6896,77.225,0.175
16,09/23/24 08:15:00 PM,14.6886,76.876,0.174
17,09/23/24 08:20:00 PM,14.6913,76.703,0.176
18,09/23/24 08:25:00 PM,14.6854,76.354,0.170
19,09/23/24 08:30:00 PM,14.6897,76.181,0.172
20,09/23/24 08:35:00 PM,14.6877,76.006,0.169
21,09/23/24 08:40:00 PM,14.6883,75.659,0.168
22,09/23/24 08:45:00 PM,14.6894,75.484,0.167
23,09/23/24 08:50:00 PM,14.6904,75.312,0.169
24,09/23/24 08:55:00 PM,14.6884,75.139,0.169
25,09/23/24 09:00:00 PM,14.6797,74.964,0.160
26,09/23/24 09:05:00 PM,14.6711,74.791,0.154
27,09/23/24 09:10:00 PM,14.6690,74.619,0.151
28,09/23/24 09:15:00 PM,14.6685,74.446,0.153
29,09/23/24 09:20:00 PM,14.6648,74.271,0.146
30,09/23/24 09:25:00 PM,14.6610,74.098,0.143
31,09/23/24 09:30:00 PM,14.6540,73.926,0.139
32,09/23/24 09:35:00 PM,14.6519,73.753,0.138
33,09/23/24 09:40:00 PM,14.6514,73.580,0.137
34,09/23/24 09:45:00 PM,14.6524,73.407,0.136
35,09/23/24 09:50:00 PM,14.6536,73.234,0.138
36,09/23/24 09:55:00 PM,14.6546,73.062,0.137
37,09/23/24 10:00:00 PM,14.6558,72.891,0.139
38,09/23/24 10:05:00 PM,14.6568,72.718,0.138
39,09/23/24 10:10:00 PM,14.6595,72.545,0.142
40,09/23/24 10:15:00 PM,14.6623,72.372,0.142
41,09/23/24 10:20:00 PM,14.6665,72.199,0.142
42,09/23/24 10:25:00 PM,14.6661,72.028,0.142
43,09/23/24 10:30:00 PM,14.6677,72.028,0.145
44,09/23/24 10:35:00 PM,14.6655,71.856,0.142
45,09/23/24 10:40:00 PM,14.6633,71.683,0.141
46,09/23/24 10:45:00 PM,14.6677,71.512,0.144
47,09/23/24 10:50:00 PM,14.6671,71.339,0.143
48,09/23/24 10:55:00 PM,14.6714,71.168,0.144
49,09/23/24 11:00:00 PM,14.6730,71.168,0.146
50,09/23/24 11:05:00 PM,14.6758,70.995,0.148
51,09/23/24 11:10:00 PM,14.6833,70.824,0.153
52,09/23/24 11:15:00 PM,14.6941,70.651,0.160
53,09/23/24 11:20:00 PM,14.6875,70.651,0.157
54,09/23/24 11:25:00 PM,14.6951,70.480,0.162
55,09/23/24 11:30:00 PM,14.6978,70.308,0.163
56,09/23/24 11:35:00 PM,14.6994,70.308,0.165
57,09/23/24 11:40:00 PM,14.6988,70.137,0.165
58,09/23/24 11:45:00 PM,14.6984,69.964,0.165
59,09/23/24 11:50:00 PM,14.6945,69.793,0.163
60,09/23/24 11:55:00 PM,14.6897,69.793,0.159
61,09/24/24 12:00:00 AM,14.6891,69.622,0.158
62,09/24/24 12:05:00 AM,14.6810,69.622,0.152
63,09/24/24 12:10:00 AM,14.6806,69.449,0.151
64,09/24/24 12:15:00 AM,14.6788,69.449,0.148
65,09/24/24 12:20:00 AM,14.6751,69.278,0.147
66,09/24/24 12:25:00 AM,14.6687,69.278,0.143
67,09/24/24 12:30:00 AM,14.6632,69.107,0.140
68,09/24/24 12:35:00 AM,14.6600,69.107,0.137
69,09/24/24 12:40:00 AM,14.6610,68.934,0.137
70,09/24/24 12:45:00 AM,14.6594,68.934,0.136
71,09/24/24 12:50:00 AM,14.6622,68.763,0.140
72,09/24/24 12:55:00 AM,14.6669,68.763,0.142
73,09/24/24 01:00:00 AM,14.6701,68.763,0.143
74,09/24/24 01:05:00 AM,14.6729,68.592,0.145
75,09/24/24 01:10:00 AM,14.6745,68.592,0.149
76,09/24/24 01:15:00 AM,14.6755,68.421,0.147
77,09/24/24 01:20:00 AM,14.6788,68.421,0.150
78,09/24/24 01:25:00 AM,14.6814,68.248,0.151
79,09/24/24 01:30:00 AM,14.6783,68.248,0.149
80,09/24/24 01:35:00 AM,14.6825,68.077,0.151
81,09/24/24 01:40:00 AM,14.6787,67.906,0.149
82,09/24/24 01:45:00 AM,14.6787,67.906,0.150
83,09/24/24 01:50:00 AM,14.6813,67.735,0.152
84,09/24/24 01:55:00 AM,14.6797,67.735,0.151
85,09/24/24 02:00:00 AM,14.6759,67.564,0.150
86,09/24/24 02:05:00 AM,14.6743,67.564,0.147
87,09/24/24 02:10:00 AM,14.6754,67.392,0.149
88,09/24/24 02:15:00 AM,14.6785,67.392,0.151
89,09/24/24 02:20:00 AM,14.6785,67.392,0.150
90,09/24/24 02:25:00 AM,14.6780,67.221,0.150
91,09/24/24 02:30:00 AM,14.6764,67.221,0.148
92,09/24/24 02:35:00 AM,14.6748,67.221,0.146
93,09/24/24 02:40:00 AM,14.6726,67.050,0.145
94,09/24/24 02:45:00 AM,14.6758,67.050,0.146
95,09/24/24 02:50:00 AM,14.6726,67.050,0.145
96,09/24/24 02:55:00 AM,14.6661,67.050,0.140
97,09/24/24 03:00:00 AM,14.6694,67.050,0.143
98,09/24/24 03:05:00 AM,14.6661,67.050,0.140
99,09/24/24 03:10:00 AM,14.6645,67.050,0.141
100,09/24/24 03:15:00 AM,14.6645,67.050,0.140
101,09/24/24 03:20:00 AM,14.6613,67.050,0.136
102,09/24/24 03:25:00 AM,14.6629,67.050,0.140
103,09/24/24 03:30:00 AM,14.6597,67.050,0.140
104,09/24/24 03:35:00 AM,14.6603,67.221,0.138
105,09/24/24 03:40:00 AM,14.6553,67.221,0.136
106,09/24/24 03:45:00 AM,14.6537,67.221,0.132
107,09/24/24 03:50:00 AM,14.6490,67.221,0.131
108,09/24/24 03:55:00 AM,14.6456,67.221,0.128
109,09/24/24 04:00:00 AM,14.6414,67.392,0.124
110,09/24/24 04:05:00 AM,14.6414,67.392,0.124
111,09/24/24 04:10:00 AM,14.6349,67.392,0.121
112,09/24/24 04:15:00 AM,14.6333,67.392,0.120
113,09/24/24 04:20:00 AM,14.6301,67.392,0.117
