"#","Date Time, GMT-07:00","Abs Pres, psi (LGR S/N: 22072298, SEN S/N: 22072298, LBL: Oros_Pressure)","Temp, °F (LGR S/N: 22072298, SEN S/N: 22072298, LBL: Oros_Temp)","Sensor Depth, meters (LGR S/N: )"
1,09/10/24 04:40:00 PM,14.7646,81.975,0.219
2,09/10/24 04:45:00 PM,14.7621,81.797,0.219
3,09/10/24 04:50:00 PM,14.7638,81.797,0.222
4,09/10/24 04:55:00 PM,14.7628,81.975,0.220
5,09/10/24 05:00:00 PM,14.7628,81.975,0.222
6,09/10/24 05:05:00 PM,14.7611,81.975,0.219
7,09/10/24 05:10:00 PM,14.7557,81.975,0.217
8,09/10/24 05:15:00 PM,14.7574,81.975,0.217
9,09/10/24 05:20:00 PM,14.7557,81.975,0.216
10,09/10/24 05:25:00 PM,14.7557,81.975,0.214
11,09/10/24 05:30:00 PM,14.7557,81.975,0.214
12,09/10/24 05:35:00 PM,14.7505,81.975,0.211
13,09/10/24 05:40:00 PM,14.7540,81.975,0.213
14,09/10/24 05:45:00 PM,14.7557,81.975,0.215
15,09/10/24 05:50:00 PM,14.7592,81.975,0.215
16,09/10/24 05:55:00 PM,14.7663,81.975,0.225
17,09/10/24 06:00:00 PM,14.7698,81.975,0.225
18,09/10/24 06:05:00 PM,14.7821,81.975,0.231
19,09/10/24 06:10:00 PM,14.7909,81.975,0.239
20,09/10/24 06:15:00 PM,14.8014,81.975,0.246
21,09/10/24 06:20:00 PM,14.8102,81.975,0.252
22,09/10/24 06:25:00 PM,14.8172,81.975,0.258
23,09/10/24 06:30:00 PM,14.8289,81.797,0.265
24,09/10/24 06:35:00 PM,14.8342,81.797,0.271
25,09/10/24 06:40:00 PM,14.8377,81.797,0.275
26,09/10/24 06:45:00 PM,14.8430,81.797,0.277
27,09/10/24 06:50:00 PM,14.8482,81.797,0.281
28,09/10/24 06:55:00 PM,14.8482,81.797,0.280
29,09/10/24 07:00:00 PM,14.8535,81.797,0.285
30,09/10/24 07:05:00 PM,14.8529,81.621,0.286
31,09/10/24 07:10:00 PM,14.8529,81.621,0.284
32,09/10/24 07:15:00 PM,14.8529,81.621,0.285
33,09/10/24 07:20:00 PM,14.8511,81.621,0.285
34,09/10/24 07:25:00 PM,14.8540,81.442,0.288
35,09/10/24 07:30:00 PM,14.8487,81.442,0.285
36,09/10/24 07:35:00 PM,14.8452,81.442,0.280
37,09/10/24 07:40:00 PM,14.8417,81.442,0.278
38,09/10/24 07:45:00 PM,14.8446,81.266,0.279
39,09/10/24 07:50:00 PM,14.8429,81.266,0.279
40,09/10/24 07:55:00 PM,14.8464,81.266,0.280
41,09/10/24 08:00:00 PM,14.8394,81.266,0.276
42,09/10/24 08:05:00 PM,14.8375,81.266,0.274
43,09/10/24 08:10:00 PM,14.8387,81.090,0.273
44,09/10/24 08:15:00 PM,14.8387,81.090,0.274
45,09/10/24 08:20:00 PM,14.8369,81.090,0.271
46,09/10/24 08:25:00 PM,14.8352,81.090,0.269
47,09/10/24 08:30:00 PM,14.8352,81.090,0.268
48,09/10/24 08:35:00 PM,14.8317,81.090,0.266
49,09/10/24 08:40:00 PM,14.8310,80.911,0.265
50,09/10/24 08:45:00 PM,14.8275,80.911,0.262
51,09/10/24 08:50:00 PM,14.8240,80.911,0.260
52,09/10/24 08:55:00 PM,14.8205,80.911,0.257
53,09/10/24 09:00:00 PM,14.8205,80.911,0.256
54,09/10/24 09:05:00 PM,14.8163,80.735,0.254
55,09/10/24 09:10:00 PM,14.8146,80.735,0.251
56,09/10/24 09:15:00 PM,14.8111,80.735,0.250
57,09/10/24 09:20:00 PM,14.8146,80.735,0.253
58,09/10/24 09:25:00 PM,14.8111,80.735,0.249
59,09/10/24 09:30:00 PM,14.8104,80.559,0.249
60,09/10/24 09:35:00 PM,14.8069,80.559,0.248
61,09/10/24 09:40:00 PM,14.8069,80.559,0.250
62,09/10/24 09:45:00 PM,14.8052,80.559,0.246
63,09/10/24 09:50:00 PM,14.8063,80.382,0.245
64,09/10/24 09:55:00 PM,14.8081,80.382,0.246
65,09/10/24 10:00:00 PM,14.8044,80.382,0.245
66,09/10/24 10:05:00 PM,14.8044,80.382,0.245
67,09/10/24 10:10:00 PM,14.8039,80.206,0.243
68,09/10/24 10:15:00 PM,14.8056,80.206,0.245
69,09/10/24 10:20:00 PM,14.8056,80.206,0.246
70,09/10/24 10:25:00 PM,14.8091,80.206,0.248
71,09/10/24 10:30:00 PM,14.8091,80.206,0.249
72,09/10/24 10:35:00 PM,14.8068,80.029,0.246
73,09/10/24 10:40:00 PM,14.8085,80.029,0.247
74,09/10/24 10:45:00 PM,14.8085,80.029,0.248
75,09/10/24 10:50:00 PM,14.8120,80.029,0.251
76,09/10/24 10:55:00 PM,14.8131,79.853,0.249
77,09/10/24 11:00:00 PM,14.8114,79.853,0.251
78,09/10/24 11:05:00 PM,14.8078,79.853,0.248
79,09/10/24 11:10:00 PM,14.8097,79.853,0.249
80,09/10/24 11:15:00 PM,14.8055,79.678,0.248
81,09/10/24 11:20:00 PM,14.8037,79.678,0.244
82,09/10/24 11:25:00 PM,14.8037,79.678,0.246
83,09/10/24 11:30:00 PM,14.8037,79.678,0.246
84,09/10/24 11:35:00 PM,14.8012,79.502,0.245
85,09/10/24 11:40:00 PM,14.7995,79.502,0.244
86,09/10/24 11:45:00 PM,14.7960,79.502,0.241
87,09/10/24 11:50:00 PM,14.7925,79.502,0.238
88,09/10/24 11:55:00 PM,14.7883,79.326,0.237
89,09/11/24 12:00:00 AM,14.7883,79.326,0.235
90,09/11/24 12:05:00 AM,14.7866,79.326,0.236
91,09/11/24 12:10:00 AM,14.7859,79.151,0.235
92,09/11/24 12:15:00 AM,14.7824,79.151,0.232
93,09/11/24 12:20:00 AM,14.7789,79.151,0.229
94,09/11/24 12:25:00 AM,14.7807,79.151,0.233
95,09/11/24 12:30:00 AM,14.7764,78.975,0.226
96,09/11/24 12:35:00 AM,14.7747,78.975,0.228
97,09/11/24 12:40:00 AM,14.7730,78.975,0.227
98,09/11/24 12:45:00 AM,14.7670,78.800,0.223
99,09/11/24 12:50:00 AM,14.7670,78.800,0.223
100,09/11/24 12:55:00 AM,14.7653,78.800,0.222
101,09/11/24 01:00:00 AM,14.7653,78.800,0.222
102,09/11/24 01:05:00 AM,14.7612,78.624,0.219
103,09/11/24 01:10:00 AM,14.7558,78.624,0.218
104,09/11/24 01:15:00 AM,14.7524,78.624,0.216
105,09/11/24 01:20:00 AM,14.7518,78.449,0.215
106,09/11/24 01:25:00 AM,14.7518,78.449,0.214
107,09/11/24 01:30:00 AM,14.7482,78.449,0.211
108,09/11/24 01:35:00 AM,14.7447,78.449,0.211
109,09/11/24 01:40:00 AM,14.7405,78.274,0.206
110,09/11/24 01:45:00 AM,14.7387,78.274,0.205
111,09/11/24 01:50:00 AM,14.7370,78.274,0.204
112,09/11/24 01:55:00 AM,14.7347,78.098,0.202
113,09/11/24 02:00:00 AM,14.7310,78.098,0.202
114,09/11/24 02:05:00 AM,14.7276,78.098,0.199
115,09/11/24 02:10:00 AM,14.7287,77.923,0.201
116,09/11/24 02:15:00 AM,14.7199,77.923,0.193
117,09/11/24 02:20:00 AM,14.7199,77.923,0.195
118,09/11/24 02:25:00 AM,14.7210,77.749,0.197
119,09/11/24 02:30:00 AM,14.7228,77.749,0.195
120,09/11/24 02:35:00 AM,14.7210,77.749,0.194
121,09/11/24 02:40:00 AM,14.7157,77.749,0.192
122,09/11/24 02:45:00 AM,14.7186,77.574,0.192
123,09/11/24 02:50:00 AM,14.7151,77.574,0.190
124,09/11/24 02:55:00 AM,14.7186,77.574,0.194
125,09/11/24 03:00:00 AM,14.7180,77.400,0.194
126,09/11/24 03:05:00 AM,14.7180,77.400,0.192
127,09/11/24 03:10:00 AM,14.7161,77.400,0.193
128,09/11/24 03:15:00 AM,14.7208,77.225,0.196
129,09/11/24 03:20:00 AM,14.7208,77.225,0.197
130,09/11/24 03:25:00 AM,14.7225,77.225,0.198
131,09/11/24 03:30:00 AM,14.7202,77.050,0.196
132,09/11/24 03:35:00 AM,14.7237,77.050,0.198
133,09/11/24 03:40:00 AM,14.7271,77.050,0.199
134,09/11/24 03:45:00 AM,14.7264,76.876,0.199
135,09/11/24 03:50:00 AM,14.7300,76.876,0.203
136,09/11/24 03:55:00 AM,14.7283,76.876,0.200
137,09/11/24 04:00:00 AM,14.7310,76.703,0.202
138,09/11/24 04:05:00 AM,14.7310,76.703,0.200
139,09/11/24 04:10:00 AM,14.7328,76.703,0.203
140,09/11/24 04:15:00 AM,14.7357,76.528,0.205
141,09/11/24 04:20:00 AM,14.7357,76.528,0.204
142,09/11/24 04:25:00 AM,14.7403,76.354,0.206
143,09/11/24 04:30:00 AM,14.7384,76.354,0.204
144,09/11/24 04:35:00 AM,14.7403,76.354,0.206
145,09/11/24 04:40:00 AM,14.7344,76.181,0.202
146,09/11/24 04:45:00 AM,14.7379,76.181,0.203
147,09/11/24 04:50:00 AM,14.7396,76.181,0.205
148,09/11/24 04:55:00 AM,14.7371,76.006,0.202
149,09/11/24 05:00:00 AM,14.7354,76.006,0.201
150,09/11/24 05:05:00 AM,14.7400,75.832,0.206
151,09/11/24 05:10:00 AM,14.7400,75.832,0.205
152,09/11/24 05:15:00 AM,14.7400,75.832,0.204
153,09/11/24 05:20:00 AM,14.7393,75.659,0.204
154,09/11/24 05:25:00 AM,14.7376,75.659,0.204
155,09/11/24 05:30:00 AM,14.7368,75.484,0.204
156,09/11/24 05:35:00 AM,14.7368,75.484,0.205
157,09/11/24 05:40:00 AM,14.7422,75.484,0.208
158,09/11/24 05:45:00 AM,14.7380,75.312,0.203
159,09/11/24 05:50:00 AM,14.7380,75.312,0.203
160,09/11/24 05:55:00 AM,14.7425,75.139,0.206
161,09/11/24 06:00:00 AM,14.7442,75.139,0.208
162,09/11/24 06:05:00 AM,14.7425,75.139,0.205
163,09/11/24 06:10:00 AM,14.7437,74.964,0.205
164,09/11/24 06:15:00 AM,14.7454,74.964,0.205
165,09/11/24 06:20:00 AM,14.7471,74.964,0.206
