"Date Time, GMT-07:00"	"Abs Pres, psi (LGR S/N: 22072300_duplicate, SEN S/N: 22072300)"	"Temp, °F (LGR S/N: 22072300_duplicate, SEN S/N: 22072300)"	"Sensor Depth, meters (LGR S/N: null)"
09/10/24 16:40:00.0	14.7646	81.975	0.219
09/10/24 16:45:00.0	14.7621	81.797	0.219
09/10/24 16:50:00.0	14.7638	81.797	0.222
09/10/24 16:55:00.0	14.7628	81.975	0.220
09/10/24 17:00:00.0	14.7628	81.975	0.222
09/10/24 17:05:00.0	14.7611	81.975	0.219
09/10/24 17:10:00.0	14.7557	81.975	0.217
09/10/24 17:15:00.0	14.7574	81.975	0.217
09/10/24 17:20:00.0	14.7557	81.975	0.216
09/10/24 17:25:00.0	14.7557	81.975	0.214
09/10/24 17:30:00.0	14.7557	81.975	0.214
09/10/24 17:35:00.0	14.7505	81.975	0.211
09/10/24 17:40:00.0	14.7540	81.975	0.213
09/10/24 17:45:00.0	14.7557	81.975	0.215
09/10/24 17:50:00.0	14.7592	81.975	0.215
09/10/24 17:55:00.0	14.7663	81.975	0.225
09/10/24 18:00:00.0	14.7698	81.975	0.225
09/10/24 18:05:00.0	14.7821	81.975	0.231
09/10/24 18:10:00.0	14.7909	81.975	0.239
09/10/24 18:15:00.0	14.8014	81.975	0.246
09/10/24 18:20:00.0	14.8102	81.975	0.252
09/10/24 18:25:00.0	14.8172	81.975	0.258
09/10/24 18:30:00.0	14.8289	81.797	0.265
09/10/24 18:35:00.0	14.8342	81.797	0.271
09/10/24 18:40:00.0	14.8377	81.797	0.275
09/10/24 18:45:00.0	14.8430	81.797	0.277
09/10/24 18:50:00.0	14.8482	81.797	0.281
09/10/24 18:55:00.0	14.8482	81.797	0.280
09/10/24 19:00:00.0	14.8535	81.797	0.285
09/10/24 19:05:00.0	14.8529	81.621	0.286
09/10/24 19:10:00.0	14.8529	81.621	0.284
09/10/24 19:15:00.0	14.8529	81.621	0.285
09/10/24 19:20:00.0	14.8511	81.621	0.285
09/10/24 19:25:00.0	14.8540	81.442	0.288
09/10/24 19:30:00.0	14.8487	81.442	0.285
09/10/24 19:35:00.0	14.8452	81.442	0.280
09/10/24 19:40:00.0	14.8417	81.442	0.278
09/10/24 19:45:00.0	14.8446	81.266	0.279
09/10/24 19:50:00.0	14.8429	81.266	0.279
09/10/24 19:55:00.0	14.8464	81.266	0.280
09/10/24 20:00:00.0	14.8394	81.266	0.276
09/10/24 20:05:00.0	14.8375	81.266	0.274
09/10/24 20:10:00.0	14.8387	81.090	0.273
09/10/24 20:15:00.0	14.8387	81.090	0.274
09/10/24 20:20:00.0	14.8369	81.090	0.271
09/10/24 20:25:00.0	14.8352	81.090	0.269
09/10/24 20:30:00.0	14.8352	81.090	0.268
09/10/24 20:35:00.0	14.8317	81.090	0.266
09/10/24 20:40:00.0	14.8310	80.911	0.265
09/10/24 20:45:00.0	14.8275	80.911	0.262
09/10/24 20:50:00.0	14.8240	80.911	0.260
09/10/24 20:55:00.0	14.8205	80.911	0.257
09/10/24 21:00:00.0	14.8205	80.911	0.256
09/10/24 21:05:00.0	14.8163	80.735	0.254
09/10/24 21:10:00.0	14.8146	80.735	0.251
09/10/24 21:15:00.0	14.8111	80.735	0.250
09/10/24 21:20:00.0	14.8146	80.735	0.253
09/10/24 21:25:00.0	14.8111	80.735	0.249
09/10/24 21:30:00.0	14.8104	80.559	0.249
09/10/24 21:35:00.0	14.8069	80.559	0.248
09/10/24 21:40:00.0	14.8069	80.559	0.250
09/10/24 21:45:00.0	14.8052	80.559	0.246
09/10/24 21:50:00.0	14.8063	80.382	0.245
09/10/24 21:55:00.0	14.8081	80.382	0.246
09/10/24 22:00:00.0	14.8044	80.382	0.245
09/10/24 22:05:00.0	14.8044	80.382	0.245
09/10/24 22:10:00.0	14.8039	80.206	0.243
09/10/24 22:15:00.0	14.8056	80.206	0.245
09/10/24 22:20:00.0	14.8056	80.206	0.246
09/10/24 22:25:00.0	14.8091	80.206	0.248
09/10/24 22:30:00.0	14.8091	80.206	0.249
09/10/24 22:35:00.0	14.8068	80.029	0.246
09/10/24 22:40:00.0	14.8085	80.029	0.247
09/10/24 22:45:00.0	14.8085	80.029	0.248
09/10/24 22:50:00.0	14.8120	80.029	0.251
09/10/24 22:55:00.0	14.8131	79.853	0.249
09/10/24 23:00:00.0	14.8114	79.853	0.251
09/10/24 23:05:00.0	14.8078	79.853	0.248
09/10/24 23:10:00.0	14.8097	79.853	0.249
09/10/24 23:15:00.0	14.8055	79.678	0.248
09/10/24 23:20:00.0	14.8037	79.678	0.244
09/10/24 23:25:00.0	14.8037	79.678	0.246
09/10/24 23:30:00.0	14.8037	79.678	0.246
09/10/24 23:35:00.0	14.8012	79.502	0.245
09/10/24 23:40:00.0	14.7995	79.502	0.244
09/10/24 23:45:00.0	14.7960	79.502	0.241
09/10/24 23:50:00.0	14.7925	79.502	0.238
09/10/24 23:55:00.0	14.7883	79.326	0.237
09/11/24 00:00:00.0	14.7883	79.326	0.235
09/11/24 00:05:00.0	14.7866	79.326	0.236
09/11/24 00:10:00.0	14.7859	79.151	0.235
09/11/24 00:15:00.0	14.7824	79.151	0.232
09/11/24 00:20:00.0	14.7789	79.151	0.229
09/11/24 00:25:00.0	14.7807	79.151	0.233
09/11/24 00:30:00.0	14.7764	78.975	0.226
09/11/24 00:35:00.0	14.7747	78.975	0.228
09/11/24 00:40:00.0	14.7730	78.975	0.227
09/11/24 00:45:00.0	14.7670	78.800	0.223
09/11/24 00:50:00.0	14.7670	78.800	0.223
09/11/24 00:55:00.0	14.7653	78.800	0.222
09/11/24 01:00:00.0	14.7653	78.800	0.222
